R,AT,KT,KI
50,0.10000558170688596,0.0,0.0
100,0.10000373845751243,0.0,0.0
150,0.09999248741642251,0.0,0.0
200,0.10000754773945203,0.0,0.0
250,0.09999620795570892,0.0,0.0
300,0.09999238008153313,0.0,0.0
