R,AT,KT,KI
50,0.6105192651186527,0.5671723688508112,0.5639263177213936
100,0.7442121284947528,0.7156599796557139,0.7012908604191197
150,0.7626613863936379,0.7361887584735844,0.7395927493729471
200,0.7778873991169193,0.7531104837065132,0.7511674249417261
250,0.7321112248712073,0.7022790869230817,0.7058244001865888
300,0.778260372614013,0.7535002767609275,0.7479705778279856
