R,AT,KT,KI
50,0.663418601684103,0.6260206107914335,0.6358730158730159
100,0.6738444284226548,0.6376050949966428,0.6455555555555555
150,0.680672268907563,0.6451916473774144,0.6507936507936509
200,0.702210936615504,0.6691232049252573,0.6752380952380952
250,0.7142508897664668,0.6825009241453098,0.6814285714285714
300,0.717763662785951,0.6864041125797011,0.6933333333333334
