R,AT,KT,KI
50,0.5876588577553208,0.5352553595641436,0.542526141514567
100,0.5827692307692308,0.5314119219620623,0.5297748232287616
150,0.6890262751159196,0.6499827016549167,0.6454095424748261
200,0.7319459543407362,0.6988436833573903,0.7169302356947769
250,0.7058823529411765,0.6696218111821786,0.6520459017638138
300,0.6835998745688303,0.6450002358242721,0.6499036625074672
